Autor,Zitat
Eliud Kipchoge,No human is limited.
Haile Gebrselassie,Run hard when it’s hard to run.
Emil Zátopek,"If you want to win something, run 100 meters. If you want to experience something, run a marathon."
Steve Prefontaine,To give anything less than your best is to sacrifice the gift.
Dean Karnazes,"Run when you can, walk if you have to, crawl if you must; just never give up."
Bill Rodgers,The marathon can humble you.
Frank Shorter,You can’t rush progress. You must wait for it.
Grete Waitz,Hurry slowly.
Paula Radcliffe,You can only become a better runner by running.
Joan Benoit Samuelson,There’s magic in misery. Just ask any runner.
Unbekannt,Jeder Schritt zählt – auch der kleine.
Unbekannt,Laufen ist Meditation in Bewegung.
Unbekannt,Der härteste Kilometer ist der vom Sofa zur Tür.
Unbekannt,"Schweiß ist nur Fett, das weint."
Unbekannt,Laufen macht den Kopf frei und das Herz stark.
Unbekannt,"Wenn du denkst, du kannst nicht mehr, bist du meist erst bei 70 %."
Unbekannt,Die beste Aussicht gibt es nur nach dem härtesten Aufstieg.
Unbekannt,"Manchmal ist der längste Weg der, der am meisten verändert."
Unbekannt,Lauf nicht vor etwas weg – lauf auf etwas zu.
Unbekannt,"Dein Tempo, dein Ziel, dein Lauf."
Unbekannt,Jeder Lauf ist besser als keiner.
Unbekannt,Kilometer sind die Währung des Fortschritts.
Unbekannt,"Manchmal ist Laufen die Antwort – egal, was die Frage war."
Unbekannt,Der Wind im Gesicht ist besser als jede Ausrede.
Unbekannt,"Lauf, weil du kannst."
Unbekannt,Disziplin schlägt Motivation.
Unbekannt,Laufen beginnt im Kopf und endet im Herzen.
Unbekannt,Man läuft nicht gegen andere – man läuft zu sich selbst.
Unbekannt,Der Weg ist das Ziel – aber Ziele machen den Weg schön.
Unbekannt,Auch ein kurzer Lauf kann ein großer Schritt sein.
Unbekannt,Jeder Schritt zählt – auch der kleine.
Unbekannt,Laufen ist Meditation in Bewegung.
Unbekannt,Der härteste Kilometer ist der vom Sofa zur Tür.
Unbekannt,"Schweiß ist nur Fett, das weint."
Unbekannt,Laufen macht den Kopf frei und das Herz stark.
Unbekannt,"Wenn du denkst, du kannst nicht mehr, bist du meist erst bei 70 %."
Unbekannt,Die beste Aussicht gibt es nur nach dem härtesten Aufstieg.
Unbekannt,"Manchmal ist der längste Weg der, der am meisten verändert."
Unbekannt,Lauf nicht vor etwas weg – lauf auf etwas zu.
Unbekannt,"Dein Tempo, dein Ziel, dein Lauf."
Unbekannt,Jeder Lauf ist besser als keiner.
Unbekannt,Kilometer sind die Währung des Fortschritts.
Unbekannt,"Manchmal ist Laufen die Antwort – egal, was die Frage war."
Unbekannt,Der Wind im Gesicht ist besser als jede Ausrede.
Unbekannt,"Lauf, weil du kannst."
Unbekannt,Disziplin schlägt Motivation.
Unbekannt,Laufen beginnt im Kopf und endet im Herzen.
Unbekannt,Man läuft nicht gegen andere – man läuft zu sich selbst.
Unbekannt,Der Weg ist das Ziel – aber Ziele machen den Weg schön.
Unbekannt,Auch ein kurzer Lauf kann ein großer Schritt sein.
Unbekannt,Jeder Schritt zählt – auch der kleine.
Unbekannt,Laufen ist Meditation in Bewegung.
Unbekannt,Der härteste Kilometer ist der vom Sofa zur Tür.
Unbekannt,"Schweiß ist nur Fett, das weint."
Unbekannt,Laufen macht den Kopf frei und das Herz stark.
Unbekannt,"Wenn du denkst, du kannst nicht mehr, bist du meist erst bei 70 %."
Unbekannt,Die beste Aussicht gibt es nur nach dem härtesten Aufstieg.
Unbekannt,"Manchmal ist der längste Weg der, der am meisten verändert."
Unbekannt,Lauf nicht vor etwas weg – lauf auf etwas zu.
Unbekannt,"Dein Tempo, dein Ziel, dein Lauf."
Unbekannt,Jeder Lauf ist besser als keiner.
Unbekannt,Kilometer sind die Währung des Fortschritts.
Unbekannt,"Manchmal ist Laufen die Antwort – egal, was die Frage war."
Unbekannt,Der Wind im Gesicht ist besser als jede Ausrede.
Unbekannt,"Lauf, weil du kannst."
Unbekannt,Disziplin schlägt Motivation.
Unbekannt,Laufen beginnt im Kopf und endet im Herzen.
Unbekannt,Man läuft nicht gegen andere – man läuft zu sich selbst.
Unbekannt,Der Weg ist das Ziel – aber Ziele machen den Weg schön.
Unbekannt,Auch ein kurzer Lauf kann ein großer Schritt sein.
Unbekannt,Jeder Schritt zählt – auch der kleine.
Unbekannt,Laufen ist Meditation in Bewegung.
Unbekannt,Der härteste Kilometer ist der vom Sofa zur Tür.
Unbekannt,"Schweiß ist nur Fett, das weint."
Unbekannt,Laufen macht den Kopf frei und das Herz stark.
Unbekannt,"Wenn du denkst, du kannst nicht mehr, bist du meist erst bei 70 %."
Unbekannt,Die beste Aussicht gibt es nur nach dem härtesten Aufstieg.
Unbekannt,"Manchmal ist der längste Weg der, der am meisten verändert."
Unbekannt,Lauf nicht vor etwas weg – lauf auf etwas zu.
Unbekannt,"Dein Tempo, dein Ziel, dein Lauf."
Unbekannt,Jeder Lauf ist besser als keiner.
Unbekannt,Kilometer sind die Währung des Fortschritts.
Unbekannt,"Manchmal ist Laufen die Antwort – egal, was die Frage war."
Unbekannt,Der Wind im Gesicht ist besser als jede Ausrede.
Unbekannt,"Lauf, weil du kannst."
Unbekannt,Disziplin schlägt Motivation.
Unbekannt,Laufen beginnt im Kopf und endet im Herzen.
Unbekannt,Man läuft nicht gegen andere – man läuft zu sich selbst.
Unbekannt,Der Weg ist das Ziel – aber Ziele machen den Weg schön.
Unbekannt,Auch ein kurzer Lauf kann ein großer Schritt sein.
Unbekannt,Jeder Schritt zählt – auch der kleine.
Unbekannt,Laufen ist Meditation in Bewegung.
Unbekannt,Der härteste Kilometer ist der vom Sofa zur Tür.
Unbekannt,"Schweiß ist nur Fett, das weint."
Unbekannt,Laufen macht den Kopf frei und das Herz stark.
Unbekannt,"Wenn du denkst, du kannst nicht mehr, bist du meist erst bei 70 %."
Unbekannt,Die beste Aussicht gibt es nur nach dem härtesten Aufstieg.
Unbekannt,"Manchmal ist der längste Weg der, der am meisten verändert."
Unbekannt,Lauf nicht vor etwas weg – lauf auf etwas zu.
Unbekannt,"Dein Tempo, dein Ziel, dein Lauf."
